鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
內湖區,房地(土地+建物),臺北市內湖區基湖路3巷1~50號,120.15,其他,,,10109,土地1建物1車位0,二層,9,辦公商業大樓,工業用,鋼筋混凝土造,910801,593.99,0,0,0,無,有,無,188600,318,,0,0,307252,2774827
中山區,房地(土地+建物),臺北市中山區吉林路144巷1~50號,24.65,住,,,10109,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720715,117.27,3,2,2,有,無,有,28000,239,,0,0,303374,2772084
中山區,房地(土地+建物),臺北市中山區明水路551~600號,11.45,住,,,10109,土地1建物1車位0,六層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,850530,45.51,1,1,1,有,有,有,17000,374,,0,0,305691,2774609
中山區,建物,臺北市中山區中山北路二段93巷1~50號,0,,,,10108,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,940803,43.43,1,1,2,有,有,有,25000,576,,0,0,302856,2772407
中山區,建物,臺北市中山區新生北路二段68巷1~50號,0,,,,10108,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971229,59.29,2,1,1,有,有,有,27000,455,,0,0,303167,2772131
中山區,房地(土地+建物),臺北市中山區南京東路二段24巷1~50號,0,商,,,10109,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,931209,51.76,1,1,1,有,有,有,30000,580,,0,0,303366,2771587
中山區,房地(土地+建物),臺北市中山區大直街1~50號,38.75,住,,,10109,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890801,221.4,4,2,2,有,有,有,66000,298,,0,0,305192,2774863
中山區,建物,臺北市中山區南京東路二段101~150號,0,,,,10109,土地0建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,990917,60.45,1,1,1,有,有,有,54000,893,,0,0,303724,2771565
中山區,建物,臺北市中山區新生北路二段151~200號,0,商,,,10108,土地0建物1車位0,一層,4,店面(店鋪),,鋼筋混凝土造,620620,51.45,0,0,0,無,無,無,26000,505,,0,0,303284,2772755
中山區,建物,臺北市中山區合江街101~150號,0,住,,,10108,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,74.21,0,0,0,無,無,無,50000,674,,0,0,304398,2772414
中山區,建物,臺北市中山區合江街73巷1~50號,0,住,,,10108,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710510,157.43,3,3,1,有,無,無,50000,318,,0,0,304525,2772401
中山區,建物,臺北市中山區龍江路394巷1~50號,0,住,,,10108,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710918,90.62,3,2,2,有,無,無,25000,276,,0,0,304525,2773294
中山區,建物,臺北市中山區龍江路370巷51~100號,0,商,,,10109,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,670902,134.45,1,2,1,有,無,無,29000,216,,0,0,304253,2773261
中山區,建物,臺北市中山區建國北路三段93巷1~50號,0,商,,,10109,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,690816,122.77,0,0,0,無,無,無,50000,407,,0,0,304136,2773207
文山區,建物,臺北市文山區萬隆街1~50號,0,住,,,10108,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930827,35.8,1,0,1,有,有,有,12000,335,,0,0,304283,2765973
中正區,建物,臺北市中正區寧波東街1~50號,0,,,,10109,土地0建物0車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,621114,401.36,0,0,0,有,無,無,165000,411,,0,0,302509,2769543
萬華區,房地(土地+建物),臺北市萬華區昆明街1~50號,77,商,,,10108,土地2建物1車位0,一層,2,店面(店鋪),,磚造,,135.9,0,0,0,無,無,無,390000,2870,,0,0,301001,2770817
中正區,建物,臺北市中正區新生南路一段101~150號,0,,,,10108,土地0建物0車位0,全,3,透天厝,,加強磚造,,16.53,0,0,0,無,無,有,9000,544,,0,0,303728,2770245
萬華區,房地(土地+建物),臺北市萬華區漢口街二段83巷1~50號,136,商,,,10108,土地2建物1車位0,全,1,透天厝,,木造,,58.95,0,0,0,無,無,無,40000,679,,0,0,300967,2771010
南港區,建物,臺北市南港區成福路201~250號,0,住,,,10108,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,950301,36.12,2,1,1,有,有,有,14500,401,,0,0,309399,2770381
松山區,建物,臺北市松山區延壽街330巷7弄1~50號,0,商,,,10210,土地0建物0車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,810309,71.96,1,1,1,有,有,無,42000,584,,0,0,306679,2772011
南港區,建物,臺北市南港區玉成街151~200號,0,住,,,10108,土地0建物1車位0,一層,3,店面(店鋪),住家用,加強磚造,,73.02,0,0,0,無,無,無,40000,548,,0,0,308910,2770881
信義區,建物,臺北市信義區松平路101~150號,0,住,,,10109,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800927,164.69,3,2,2,有,有,有,60000,364,,0,0,307437,2769286
信義區,建物,臺北市信義區信義路六段12巷1~50號,0,,,,10109,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,77.94,0,0,0,無,無,有,28000,359,,0,0,308016,2769527
松山區,建物,臺北市松山區饒河街201~250號,0,商,,,10108,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,670317,77.85,2,2,1,有,無,無,13000,167,,0,0,308245,2771559
松山區,房地(土地+建物),臺北市松山區敦化南路一段100巷51~100號,273,住,,,10110,土地1建物1車位0,六層,7,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730220,191.2,4,2,2,有,無,無,38000,199,,0,0,305197,2770983
松山區,建物,臺北市松山區南京東路五段351~400號,0,商,,,10108,土地0建物1車位0,十層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,820708,77.08,2,2,1,有,無,無,25000,324,,0,0,307489,2771605
大安區,建物,臺北市大安區忠孝東路四段205巷29弄1~50號,0,,,,10108,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,加強磚造,,99.93,0,0,0,無,無,有,30000,300,,0,0,305742,2770665
大安區,房地(土地+建物),臺北市大安區辛亥路二段101~150號,14.76,住,,,10108,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750705,163.78,3,1,2,有,有,有,24500,150,,0,0,304453,2768280
大安區,建物,臺北市大安區敦化南路一段151~200號,0,,,,10108,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,加強磚造,,93.02,0,0,0,無,無,無,25000,269,,0,0,305337,2770687
大安區,建物,臺北市大安區富陽街101~150號,0,住,,,10108,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,881227,34.13,0,0,0,無,無,有,15000,439,,0,0,306179,2767982
大安區,建物,臺北市大安區樂利路28巷1~50號,0,,,,10109,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,721125,147.79,4,2,2,有,無,無,30000,203,,0,0,305647,2768884
大安區,建物,臺北市大安區和平東路三段228巷51~100號,0,住,,,10108,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,720530,107.08,3,2,1,有,有,有,26500,247,,0,0,305833,2768127
士林區,建物,臺北市士林區德行西路1~50號,0,工,,,10108,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,970502,47.15,1,1,1,有,有,有,22000,467,,0,0,302782,2777488
士林區,建物,臺北市士林區德行西路1~50號,0,工,,,10109,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,970502,61.98,1,1,1,有,無,有,28000,452,,0,0,302788,2777482
北投區,建物,臺北市北投區義方街1~50號,0,,,,10108,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620717,99.83,3,2,1,有,無,無,17000,170,,0,0,300610,2781492
士林區,建物,臺北市士林區大北路1~50號,225.37,商,,,10108,土地0建物0車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住家用,加強磚造,531002,207.28,7,0,7,有,無,有,140000,675,,0,0,303138,2775827
士林區,建物,臺北市士林區大北路1~50號,225.37,商,,,10108,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,加強磚造,531002,116.37,0,0,0,無,無,無,75000,644,,0,0,303133,2775832
士林區,房地(土地+建物),臺北市士林區中山北路五段699巷1~50號,27.31,住,,,10108,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821018,156.67,4,2,2,有,無,有,36500,233,,0,0,303161,2776721
士林區,建物,臺北市士林區中山北路六段405巷51~100號,0,住,,,10108,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971209,237.98,4,2,2,有,有,有,115000,483,,0,0,303348,2778821
北投區,房地(土地+建物)+車位,臺北市北投區行義路10巷9弄1~50號,0,住,,,10108,土地0建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960112,245.07,4,2,2,有,有,有,87000,355,坡道平面,0.05,0,303164,2779702
信義區,建物,臺北市信義區松德路101~150號,0,住,,,10110,土地0建物1車位0,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831006,123.53,4,2,2,有,有,無,42000,340,坡道平面,0,0,308030,2770085
信義區,房地(土地+建物),臺北市信義區基隆路二段101~150號,48.67,商,,,10108,土地1建物2車位0,十層,12,辦公商業大樓,商業用,鋼骨混凝土造,840125,640.08,0,0,0,無,有,無,210000,328,,0,0,306234,2769101
大安區,建物,臺北市大安區信義路四段101~150號,0,其他,,,10109,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,691124,139.04,3,2,2,有,有,有,38000,273,,0,0,305503,2769536
大安區,建物,臺北市大安區和平東路二段175巷15弄1~50號,0,住,,,10109,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760121,154.8,3,2,2,有,無,有,36500,236,,0,0,304719,2768793
大安區,建物,臺北市大安區青田街2巷1~50號,0,,,,10109,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,71.55,2,2,1,有,無,有,27000,377,,0,0,303580,2769039
大安區,建物,臺北市大安區敦化南路二段251~300號,11.89,,,,10108,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750207,123.5,2,2,2,有,無,有,35000,283,,0,0,305440,2768644
大安區,建物,臺北市大安區光復南路301~350號,0,其他,,,10108,土地0建物1車位0,一層,9,店面(店鋪),見使用執照,鋼筋混凝土造,910611,81.81,0,0,0,無,有,無,140000,1711,,0,0,306237,2770117
信義區,建物,臺北市信義區基隆路一段101~150號,0,商,,,10109,土地0建物1車位0,二層,10,辦公商業大樓,見其他登記事項,鋼筋混凝土造,881110,263.14,3,0,0,有,有,無,68000,258,,0,0,307217,2770871
松山區,房地(土地+建物),臺北市松山區東興路2巷1~50號,43.5,住,,,10109,土地1建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640612,30.58,1,0,1,有,無,有,11000,360,,0,0,306991,2771536
信義區,房地(土地+建物),臺北市信義區忠孝東路五段401~450號,7.41,其他,,,10108,土地1建物1車位0,十七層,17,辦公商業大樓,見使用執照,鋼筋混凝土造,860121,79.04,1,1,1,有,無,無,30000,380,,0,0,308019,2770406
信義區,建物,臺北市信義區信義路五段101~150號,0,其他,,,10108,土地0建物1車位0,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980702,85.05,2,1,1,有,有,有,38800,456,,0,0,307898,2769635
信義區,建物,臺北市信義區信義路五段101~150號,0,其他,,,10108,土地0建物1車位0,十七層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,951229,91.2,2,1,1,有,有,有,38999,428,,0,0,307923,2769660
大同區,建物,臺北市大同區南京西路1~50號,0,商,,,10108,土地0建物1車位0,十三層,13,辦公商業大樓,見其他登記事項,見其他登記事項,941208,48.78,1,1,1,有,有,有,25000,513,,0,0,302473,2771727
文山區,房地(土地+建物),臺北市文山區秀明路二段112巷1~50號,36.15,住,,,10108,土地1建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701231,23.34,1,0,1,有,無,有,10000,428,,0,0,308137,2764842
文山區,房地(土地+建物),臺北市文山區秀明路二段112巷1~50號,31.84,住,,,10109,土地1建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,21.28,1,0,1,有,無,有,10000,470,,0,0,308126,2764818
文山區,房地(土地+建物),臺北市文山區木新路二段51~100號,39.13,住,,,10109,土地1建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,19.01,1,0,1,有,無,有,9000,473,,0,0,307583,2764347
文山區,房地(土地+建物),臺北市文山區木新路二段51~100號,39.13,住,,,10109,土地1建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,19.01,1,0,1,有,無,有,8000,421,,0,0,307606,2764324
中正區,建物,臺北市中正區羅斯福路二段101~150號,0,其他,,,10108,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,921203,48.36,1,1,1,有,有,有,20000,414,,0,0,302819,2768690
中山區,建物,臺北市中山區新生北路一段1~50號,0,,,,10109,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,加強磚造,,69,2,1,1,有,無,有,11000,159,,0,0,303596,2771109
內湖區,建物,臺北市內湖區瑞光路583巷1~50號,0,工,,,10109,土地0建物2車位1,二層,7,辦公商業大樓,工商用,鋼筋混凝土造,871125,593.55,0,0,0,無,有,無,218000,367,坡道平面,0,3000,307277,2774830
