鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
中正區,建物,臺北市中正區和平西路二段51~100號,277,住,,,10109,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660907,93.71,3,2,1,有,有,有,19000,203,,0,0,301561,2769128
信義區,建物,臺北市信義區松智路31巷1~50號,41.41,住,,,10108,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870420,168.86,3,2,2,有,有,有,50000,296,,0,0,307133,2769289
松山區,建物,臺北市松山區民生東路四段51~100號,306,住,,,10108,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,20.79,1,0,1,有,無,有,12000,577,,0,0,305732,2772285
信義區,建物,臺北市信義區信義路四段451~500號,4795,商,,,10110,土地0建物1車位0,九層,22,辦公商業大樓,商業用,見使用執照,0861230,300.64,0,0,0,無,有,無,200068,665,,0,0,306363,2769515
松山區,建物,臺北市松山區南京東路五段301~350號,353,商,,,10109,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0671024,77.62,2,2,1,有,有,有,23000,296,,0,0,307282,2771558
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段101~150號,30.42,商,,,10108,土地1建物1車位1,十二層,15,辦公商業大樓,商業用,鋼筋混凝土造,0690328,355.31,0,0,0,無,有,無,150000,422,坡道平面,0,0,303932,2771677
中山區,房地(土地+建物),臺北市中山區中山北路二段77巷1~50號,5.14,商,,,10108,土地1建物1車位0,十三層,14,辦公商業大樓,商業用,鋼筋混凝土造,0901112,69.83,2,1,1,有,有,有,29500,422,,0,0,302838,2772232
中山區,房地(土地+建物),臺北市中山區松江路221巷1~50號,32.87,住,,,10108,土地1建物1車位0,三層,7,辦公商業大樓,住家用,鋼筋混凝土造,0690324,141.23,2,2,1,有,有,無,38000,269,,0,0,303942,2772358
內湖區,建物,臺北市內湖區康寧路三段51~100號,677,住,,,10108,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780609,116.71,3,2,2,有,無,有,17000,146,,0,0,311436,2773843
中山區,建物,臺北市中山區松江路1~50號,984,商,,,10108,土地0建物1車位0,八層,13,辦公商業大樓,商業用,鋼筋混凝土造,0860521,129.4,3,1,2,有,有,無,33500,259,,0,0,303825,2771156
中山區,建物,臺北市中山區吉林路151~200號,120,商,,,10108,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),,加強磚造,,102.44,3,1,2,有,無,有,33000,322,,0,0,303514,2772473
內湖區,建物,臺北市內湖區臺北市內湖區成功路二段320巷1~50號,0,,,,10108,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750115,98.81,3,2,2,有,無,無,18000,182,,0,0,309452,2773391
中山區,建物,臺北市中山區臺北市中山區林森北路251~300號,0,,,,10108,土地0建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0710707,469.52,0,0,0,無,有,無,230000,490,,0,0,303041,2771949
中山區,建物,臺北市中山區新生北路一段102巷1~50號,1480,商,,,10108,土地0建物0車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761217,50.55,1,1,1,有,有,有,15000,297,,0,0,303346,2771270
中山區,建物,臺北市中山區林森北路133巷1~50號,123,商,,,10109,土地0建物1車位0,二層,4,店面(店鋪),住家用,鋼筋混凝土造,0600323,76.79,0,1,2,有,無,有,20000,260,,0,0,303093,2771530
中山區,建物,臺北市中山區松江路25巷1~50號,0,住,,,10108,土地0建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971118,30.7,1,1,1,有,有,有,20000,651,,0,0,303876,2771119
中山區,建物,臺北市中山區新生北路三段51~100號,396,商,,,10108,土地0建物0車位0,四層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0760126,43.31,1,0,1,有,有,有,11000,254,,0,0,303216,2773306
中山區,建物,臺北市中山區中山北路二段115巷3弄1~50號,110,商,,,10109,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621207,20.9,1,0,1,有,無,有,8500,407,,0,0,302863,2772658
中山區,建物,臺北市中山區中山北路一段135巷1~50號,170,商,,,10109,土地0建物0車位0,二層,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0740125,30.72,1,0,1,有,有,有,9000,293,,0,0,302900,2771546
中山區,建物,臺北市中山區中山北路二段62巷1~50號,84,住,,,10109,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),,加強磚造,,13.14,1,0,1,有,無,有,8000,609,,0,0,302589,2772146
士林區,建物,臺北市士林區中山北路七段190巷12弄1~50號,593,住,,,10109,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710212,26.85,1,0,1,有,有,有,8500,317,,0,0,303876,2779728
大安區,建物,臺北市大安區臺北市大安區建國南路二段151~200號,0,,,,10108,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0890919,108.56,0,1,1,有,無,無,64500,594,,0,0,304319,2769007
內湖區,建物,臺北市內湖區瑞光路513巷1~50號,0,,,,10108,土地0建物1車位0,九層,10,廠辦,工業用,鋼筋混凝土造,0871015,161.2,4,1,1,有,無,無,88600,550,坡道平面,0,0,307448,2774808
中山區,建物,臺北市中山區中山北路二段101~150號,0,,,,10108,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970611,124.54,1,1,1,有,有,有,83000,666,,0,0,302695,2772763
中山區,建物,臺北市中山區農安街1~50號,0,商,,,10108,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980622,40.23,1,1,1,有,無,有,40000,994,,0,0,302784,2773065
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路51~100號,22.67,住,,,10109,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961030,246.36,3,2,3,有,有,有,86700,352,坡道平面,35.93,0,310237,2774903
