鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
中山區,房地(土地+建物),臺北市中山區長春路51~100號,4.35,住,,,10106,土地3建物1車位0,十一層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,670620,31.32,1,1,1,無,無,5050000,161239,,0,0,303139,2771970
中山區,房地(土地+建物),臺北市中山區新生北路三段1~50號,3.71,其他,,,10106,土地1建物1車位0,四層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,830926,33.29,1,1,1,有,無,4650000,139682,,0,0,303214,2772945
內湖區,房地(土地+建物),臺北市內湖區內湖路一段285巷69弄101~150號,32.58,住,,,10107,土地2建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720331,106.26,5,0,5,有,無,14500000,136458,,0,0,307380,2775326
內湖區,房地(土地+建物),臺北市內湖區金湖路326巷1~50號,15.05,住,,,10108,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870817,62.84,2,2,1,有,有,10850000,172653,,0,0,310935,2774080
中山區,房地(土地+建物),臺北市中山區民生東路一段51~100號,9.8,商,,,10107,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740706,110.5,4,4,4,有,有,14000000,126699,,0,0,302987,2772252
中山區,房地(土地+建物),臺北市中山區新生北路一段51~100號,5.23,住,,,10107,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,891018,35.89,1,1,1,有,無,6500000,181086,,0,0,303306,2771509
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段451~500號,7.83,住,,,10107,土地1建物2車位1,五層,17,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,820514,124.47,0,0,0,無,有,18680000,150075,坡道平面,34.04,0,308351,2770384
信義區,房地(土地+建物),臺北市信義區松山路601~650號,27.26,住,,,10106,土地6建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630522,82.33,3,2,1,有,無,13500000,163974,,0,0,308419,2769823
松山區,房地(土地+建物),臺北市松山區八德路三段201~250號,5.67,其他,,,10107,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,710907,73.09,2,1,1,有,無,13500000,184704,,0,0,306274,2771232
萬華區,房地(土地+建物),臺北市萬華區西寧南路101~150號,5.17,商,,,10107,土地1建物2車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,931130,51.46,2,1,2,有,有,9008442,175054,,0,0,301170,2770847
中山區,房地(土地+建物)+車位,臺北市中山區通北街65巷1~50號,33.55,住,,,10107,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870508,163.55,3,2,2,有,有,19900000,121679,坡道平面,11.8,0,304313,2775185
中山區,房地(土地+建物),臺北市中山區林森北路119巷51~100號,27.5,商,,,10105,土地1建物1車位0,一層,4,店面(店鋪),,加強磚造,,77.34,0,0,0,無,無,18500000,239204,,0,0,303186,2771459
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街219巷51~100號,36.33,住,,,10107,土地1建物2車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760410,102.98,3,1,1,有,無,11800000,114589,,0,0,310530,2775866
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路51~100號,70.36,工,,,10002,土地1建物1車位2,四層,7,廠辦,見其他登記事項,鋼筋混凝土造,1010626,326.19,0,0,0,無,有,39800000,138916,坡道平面,66.32,3700000,308102,2772347
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路51~100號,70.36,工,,,10002,土地1建物1車位2,五層,7,廠辦,見其他登記事項,鋼筋混凝土造,1010626,326.19,0,0,0,無,有,37540000,132143,坡道平面,66.32,3200000,308095,2772355
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路51~100號,70.36,工,,,10002,土地1建物1車位2,四層,7,廠辦,見其他登記事項,鋼筋混凝土造,1010626,326.19,0,0,0,無,有,39800000,139685,坡道平面,66.32,3500000,308085,2772365
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路51~100號,70.36,工,,,10002,土地1建物1車位1,六層,7,廠辦,見其他登記事項,鋼筋混凝土造,1010626,293.04,0,0,0,無,有,37830000,139218,坡道平面,33.16,1650000,308110,2772340
中山區,房地(土地+建物),臺北市中山區雙城街3巷1~50號,11.88,商,,,10106,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841201,77.65,1,1,1,有,有,11200000,144237,,0,0,302965,2772856
內湖區,房地(土地+建物),臺北市內湖區民權東路六段123巷20弄1~50號,9.75,商,,,10107,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,930302,77.14,4,2,1,有,有,11750000,152321,,0,0,309769,2773588
內湖區,房地(土地+建物),臺北市內湖區東湖路101~150號,26.48,住,,,10107,土地1建物1車位0,七層，電梯樓梯間,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,861204,91.99,2,2,1,有,有,12580000,136758,,0,0,312164,2773440
中山區,房地(土地+建物),臺北市中山區合江街188巷1~50號,18.98,住,,,10107,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661231,110.01,3,2,2,有,無,18700000,169984,,0,0,304356,2772649
萬華區,房地(土地+建物),臺北市萬華區中華路二段301~350號,10.38,住,,,10107,土地2建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,28.05,1,1,1,無,無,2000000,71301,,0,0,300878,2769144
大同區,房地(土地+建物),臺北市大同區南京西路301~350號,2.75,商,,,10107,土地3建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,691028,41.14,2,1,2,有,有,4900000,119119,,0,0,301764,2771818
萬華區,房地(土地+建物)+車位,臺北市萬華區漢口街二段1~50號,7.96,商,,,10107,土地1建物2車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001125,114.91,2,1,1,有,有,22600000,205824,升降機械,9.48,900000,301233,2770912
文山區,房地(土地+建物)+車位,臺北市文山區保儀路13巷1~50號,20.74,住,,,10106,土地1建物1車位2,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990520,202.05,2,2,2,有,有,24800000,122743,坡道平面,40.61,0,307554,2764612
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段243巷1弄1~50號,29.26,住,,,10107,土地1建物2車位1,四層,5,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810704,117.97,2,2,1,有,有,13500000,114436,坡道平面,35.54,0,306474,2763764
中正區,房地(土地+建物),臺北市中正區南昌路一段54巷1~50號,14.32,住,,,10107,土地1建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,960112,50.66,1,1,1,有,有,11800000,232917,,0,0,302097,2769295
文山區,房地(土地+建物)+車位,臺北市文山區保儀路142巷1~50號,44.21,住,,,10107,土地4建物1車位1,五層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860527,164.86,3,2,2,有,有,23520000,142670,坡道平面,36.31,0,307042,2764103
文山區,房地(土地+建物),臺北市文山區忠順街一段48巷1~50號,28.92,住,,,10107,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700626,96.89,3,2,1,有,無,11560000,119311,,0,0,306560,2764031
大安區,房地(土地+建物)+車位,臺北市大安區復興南路一段107巷1~50號,15.93,住,,,10107,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710930,114.1,3,3,3,有,無,6150000,53900,坡道平面,31.16,0,305026,2770745
士林區,房地(土地+建物),臺北市士林區中山北路六段754巷1~50號,49.61,住,,,10107,土地3建物2車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740624,229.02,4,2,2,有,無,42000000,183388,,0,0,303335,2778670
北投區,房地(土地+建物),臺北市北投區中和街20巷1~50號,4.2,商,,,10107,土地3建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950626,32.29,1,0,1,有,有,4650000,144001,,0,0,300744,2781143
士林區,房地(土地+建物),臺北市士林區基河路101~150號,7.55,住,,,10107,土地1建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850916,28.13,1,0,1,有,無,4760000,169237,,0,0,302808,2775650
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段101~150號,6.01,商,,,10107,土地3建物1車位1,一層，騎樓,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010423,76.48,0,0,0,無,有,17950000,234688,升降機械,10.06,0,300340,2780769
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段101~150號,16.08,商,,,10107,土地3建物1車位2,二層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1010423,186.07,0,0,0,無,有,26730000,143656,升降機械,21.2,0,300323,2780786
